,open,close,high,low,volume,money,change,pe,pb,cap,dyr,roe
2000-04-24,1390.18,1374.36,1407.75,1357.75,12003.0,156395.0,-1.13,52.54,5.09,685.13,0.3,10.32
2000-04-25,1377.34,1376.0,1400.27,1348.92,9365.0,111158.0,0.12,52.63,5.12,685.64,0.3,10.28
2000-04-26,1376.5,1373.59,1402.13,1356.08,9650.0,111407.0,-0.18,52.56,5.15,684.55,0.3,10.21
2000-04-27,1376.12,1350.05,1392.06,1341.25,8395.0,105232.0,-1.71,51.67,5.06,672.69,0.31,10.21
2000-04-28,1351.24,1374.81,1385.74,1335.73,8831.0,118471.0,1.83,52.48,5.15,685.06,0.31,10.19
2000-05-08,1378.32,1376.25,1404.4,1354.69,6146.0,85559.0,0.1,60.18,5.17,687.02,0.3,11.64
2000-05-09,1374.74,1358.75,1395.48,1341.39,7273.0,100845.0,-1.27,58.44,5.03,668.7,0.32,11.62
2000-05-10,1356.1,1314.6,1363.53,1304.83,6672.0,84988.0,-3.25,57.34,4.93,656.24,0.32,11.63
2000-05-11,1306.72,1291.1,1327.71,1277.46,6193.0,77819.0,-1.79,56.28,4.84,644.48,0.33,11.63
2000-05-12,1295.08,1290.82,1320.58,1276.09,5773.0,75909.0,-0.02,56.34,4.85,644.68,0.33,11.62
2000-05-15,1291.97,1284.05,1310.11,1262.76,4498.0,59000.0,-0.52,56.09,4.83,639.09,0.3,11.61
2000-05-16,1286.76,1301.47,1317.62,1277.63,4436.0,61456.0,1.36,56.54,4.87,645.38,0.29,11.61
2000-05-17,1305.18,1301.5,1324.87,1288.35,4633.0,63532.0,0.0,56.75,4.88,647.73,0.29,11.63
2000-05-18,1300.21,1328.41,1338.0,1288.17,6006.0,89286.0,2.07,57.97,4.99,661.04,0.29,11.62
2000-05-19,1333.93,1346.9,1358.72,1314.1,8454.0,124546.0,1.39,58.75,5.05,672.39,0.29,11.63
2000-05-22,1350.1,1382.95,1396.04,1334.66,11308.0,169992.0,2.68,60.31,5.19,690.11,0.28,11.62
2000-05-23,1393.67,1403.35,1432.95,1363.91,16456.0,224206.0,1.48,61.28,5.28,700.09,0.28,11.61
2000-05-24,1405.55,1436.71,1476.2,1390.14,24486.0,343454.0,2.38,62.9,5.41,717.05,0.27,11.63
2000-05-25,1451.88,1454.9,1481.83,1423.08,21364.0,289568.0,1.27,63.72,5.48,726.0,0.26,11.63
2000-05-26,1460.12,1472.59,1498.41,1429.74,27293.0,325523.0,1.22,64.49,5.55,736.51,0.26,11.62
2000-05-29,1479.4,1484.53,1520.77,1453.62,26380.0,335682.0,0.81,64.97,5.59,740.68,0.26,11.62
2000-05-30,1491.39,1460.62,1515.22,1443.57,17952.0,241745.0,-1.61,63.81,5.49,728.69,0.26,11.62
2000-05-31,1458.54,1478.79,1501.54,1435.11,15835.0,211989.0,1.24,64.68,5.57,737.65,0.26,11.61
2000-06-01,1486.94,1479.05,1512.5,1456.96,14060.0,193354.0,0.02,64.7,5.57,732.14,0.26,11.62
2000-06-02,1481.98,1487.03,1512.06,1456.32,15423.0,214947.0,0.54,65.21,5.61,743.64,0.23,11.62
2000-06-05,1492.53,1476.83,1531.76,1454.81,19411.0,255364.0,-0.69,64.74,5.57,731.62,0.22,11.62
2000-06-06,1475.34,1491.51,1507.24,1455.86,14397.0,185232.0,0.99,65.36,5.62,738.82,0.24,11.63
2000-06-07,1499.18,1504.71,1529.26,1476.95,13527.0,201780.0,0.89,65.95,5.67,745.42,0.24,11.63
2000-06-08,1504.04,1490.35,1522.61,1469.55,13091.0,179718.0,-0.95,65.33,5.62,737.7,0.26,11.62
2000-06-09,1491.75,1472.28,1515.05,1456.44,11781.0,170453.0,-1.21,64.49,5.54,736.22,0.26,11.64
2000-06-12,1467.91,1475.27,1497.63,1444.43,10627.0,158632.0,0.2,64.55,5.55,730.49,0.28,11.63
2000-06-13,1480.3,1512.12,1523.38,1467.26,13510.0,179306.0,2.5,66.16,5.69,749.09,0.27,11.63
2000-06-14,1517.9,1501.15,1536.28,1484.19,13184.0,175657.0,-0.73,65.61,5.64,743.58,0.27,11.63
2000-06-15,1502.64,1507.99,1532.34,1480.06,11727.0,148461.0,0.46,65.99,5.67,746.93,0.27,11.64
2000-06-16,1509.77,1501.25,1539.43,1480.48,15804.0,194488.0,-0.45,65.67,5.65,750.5,0.26,11.62
2000-06-19,1499.72,1488.75,1522.75,1468.55,13373.0,175160.0,-0.83,65.27,5.61,739.75,0.25,11.63
2000-06-20,1486.26,1471.71,1505.78,1452.13,9358.0,130565.0,-1.14,64.49,5.53,731.31,0.25,11.66
2000-06-21,1470.1,1490.41,1503.53,1455.72,7514.0,113708.0,1.27,65.32,5.61,740.67,0.25,11.64
2000-06-22,1493.33,1493.45,1517.33,1474.23,7723.0,117974.0,0.2,65.52,5.62,743.48,0.25,11.66
2000-06-23,1494.77,1527.38,1542.06,1483.24,15499.0,199594.0,2.27,67.14,5.76,767.71,0.23,11.66
2000-06-26,1539.74,1551.83,1577.94,1515.94,24297.0,289757.0,1.6,68.29,5.86,773.58,0.22,11.65
2000-06-27,1553.15,1547.35,1574.98,1523.32,12742.0,163591.0,-0.29,68.15,5.85,771.12,0.22,11.65
2000-06-28,1549.34,1571.34,1598.27,1536.65,16185.0,230454.0,1.55,69.28,5.94,783.24,0.22,11.66
2000-06-29,1574.27,1578.74,1604.94,1542.56,17326.0,233821.0,0.47,69.69,5.98,767.53,0.22,11.65
2000-06-30,1580.86,1555.86,1601.74,1537.91,14523.0,193139.0,-1.45,68.63,5.89,772.35,0.22,11.65
2000-07-03,1549.57,1536.85,1584.12,1510.35,13695.0,194559.0,-1.22,67.91,5.81,767.42,0.22,11.69
2000-07-04,1531.78,1540.36,1558.54,1511.12,7682.0,104733.0,0.23,68.01,5.82,769.18,0.22,11.69
2000-07-05,1541.32,1536.89,1566.06,1517.09,7948.0,115194.0,-0.22,68.17,5.81,776.58,0.22,11.73
2000-07-06,1535.02,1533.18,1557.31,1511.41,8372.0,121744.0,-0.24,67.99,5.79,774.7,0.22,11.74
2000-07-07,1531.87,1556.46,1573.11,1522.14,10229.0,142377.0,1.52,69.03,5.88,792.58,0.23,11.74
2000-07-10,1561.63,1577.6,1598.11,1537.36,13782.0,181878.0,1.36,70.07,5.97,796.91,0.23,11.74
2000-07-11,1581.31,1572.59,1609.3,1541.83,11542.0,164732.0,-0.32,69.79,5.94,794.26,0.24,11.75
2000-07-12,1576.82,1582.4,1606.22,1556.24,11676.0,170229.0,0.62,70.24,5.98,799.21,0.24,11.75
2000-07-13,1583.64,1576.62,1612.21,1549.38,14946.0,216382.0,-0.37,69.85,5.95,796.27,0.24,11.74
2000-07-14,1576.69,1577.73,1600.47,1549.16,9558.0,145727.0,0.07,69.98,5.96,803.28,0.24,11.74
2000-07-17,1578.84,1574.22,1609.47,1551.57,10358.0,161077.0,-0.22,69.86,5.95,794.61,0.26,11.74
2000-07-18,1577.97,1578.65,1604.89,1554.35,8409.0,135669.0,0.28,69.98,5.96,796.87,0.26,11.74
2000-07-19,1581.97,1583.45,1610.64,1559.87,9843.0,150214.0,0.3,70.14,5.97,799.31,0.26,11.75
2000-07-20,1584.19,1582.18,1604.11,1555.31,9132.0,134305.0,-0.08,70.0,5.95,798.67,0.26,11.76
2000-07-21,1584.18,1588.13,1607.58,1567.69,7924.0,116787.0,0.38,70.22,5.96,808.46,0.26,11.78
2000-07-24,1588.97,1574.78,1605.81,1558.68,8662.0,126359.0,-0.84,69.59,5.91,794.56,0.25,11.77
2000-07-25,1575.57,1586.24,1607.37,1558.08,7488.0,112649.0,0.73,69.93,5.86,798.71,0.29,11.93
2000-07-26,1591.93,1594.56,1617.56,1569.59,10016.0,153378.0,0.52,70.46,5.85,808.5,0.28,12.04
2000-07-27,1599.22,1596.13,1623.77,1573.79,11764.0,175529.0,0.1,70.5,5.84,809.26,0.28,12.07
2000-07-28,1598.81,1598.31,1622.48,1579.15,9122.0,132364.0,0.14,70.56,5.84,816.82,0.28,12.08
2000-07-31,1600.87,1597.22,1619.78,1575.64,8931.0,125587.0,-0.07,70.32,5.8,807.42,0.28,12.12
2000-08-01,1598.13,1603.09,1625.44,1581.39,9067.0,138714.0,0.37,70.76,5.82,831.35,0.29,12.16
2000-08-02,1606.47,1604.45,1627.45,1585.69,7049.0,108694.0,0.09,70.88,5.82,832.09,0.29,12.18
2000-08-03,1608.03,1605.05,1630.35,1586.73,8858.0,134612.0,0.04,70.92,5.82,832.43,0.29,12.19
2000-08-04,1607.08,1598.57,1629.64,1578.59,9991.0,152360.0,-0.4,70.47,5.79,836.56,0.29,12.17
2000-08-07,1593.51,1596.45,1616.79,1567.72,9783.0,144216.0,-0.13,70.25,5.83,832.11,0.3,12.05
2000-08-08,1599.04,1606.13,1627.17,1580.23,9152.0,140132.0,0.61,70.84,5.85,836.79,0.3,12.11
2000-08-09,1609.82,1612.72,1633.98,1587.78,11154.0,170215.0,0.41,71.19,5.87,840.03,0.32,12.13
2000-08-10,1616.29,1611.42,1636.55,1588.68,11741.0,182408.0,-0.08,71.06,5.85,839.34,0.32,12.15
2000-08-11,1615.59,1619.53,1645.34,1596.49,11625.0,189387.0,0.5,71.49,5.88,851.33,0.31,12.16
2000-08-14,1622.81,1636.71,1655.71,1608.62,12809.0,200551.0,1.06,72.26,5.91,852.12,0.31,12.23
2000-08-15,1642.74,1638.08,1662.3,1616.94,11740.0,175867.0,0.08,72.25,5.88,853.01,0.31,12.29
2000-08-16,1640.28,1633.57,1659.26,1614.77,9141.0,142444.0,-0.28,72.07,5.86,850.66,0.31,12.3
2000-08-17,1635.51,1625.36,1651.34,1613.14,7955.0,120397.0,-0.5,71.66,5.88,846.35,0.31,12.19
2000-08-18,1627.84,1629.18,1648.97,1608.09,8178.0,123455.0,0.23,71.68,5.87,856.66,0.31,12.21
2000-08-21,1628.72,1637.61,1654.19,1609.96,10456.0,152918.0,0.52,72.0,5.9,852.44,0.33,12.2
2000-08-22,1642.79,1621.14,1667.49,1610.0,10589.0,158979.0,-1.01,71.25,5.83,843.91,0.33,12.22
2000-08-23,1614.07,1615.51,1641.58,1540.58,16866.0,244113.0,-0.35,70.93,5.81,840.9,0.33,12.21
2000-08-24,1617.85,1623.78,1646.79,1593.08,13081.0,193976.0,0.51,71.15,5.9,845.42,0.33,12.06
2000-08-25,1626.6,1643.54,1654.63,1612.78,9797.0,153076.0,1.22,71.94,5.97,864.4,0.33,12.05
2000-08-28,1647.08,1656.37,1672.68,1628.78,9800.0,146540.0,0.78,72.29,5.99,860.38,0.26,12.07
2000-08-29,1661.77,1671.08,1696.86,1640.2,11578.0,177907.0,0.89,72.99,6.05,868.17,0.26,12.06
2000-08-30,1673.93,1649.55,1693.78,1635.91,11600.0,193480.0,-1.29,72.0,5.97,856.96,0.27,12.06
2000-08-31,1637.42,1608.79,1656.11,1590.99,11381.0,173361.0,-2.47,70.18,5.79,839.09,0.27,12.12
2000-09-01,1599.91,1600.2,1634.08,1578.21,11662.0,180595.0,-0.53,58.48,5.65,852.49,0.27,10.35
2000-09-04,1598.8,1626.03,1636.95,1576.15,11054.0,181591.0,1.61,59.39,5.74,856.71,0.27,10.35
2000-09-05,1632.39,1592.2,1653.55,1579.37,8928.0,135685.0,-2.08,56.98,5.51,824.2,0.28,10.34
2000-09-06,1583.92,1557.07,1605.42,1544.57,7975.0,116610.0,-2.21,56.72,5.48,819.93,0.28,10.35
2000-09-07,1560.63,1576.06,1601.2,1549.79,7285.0,113411.0,1.22,57.43,5.55,830.06,0.28,10.35
2000-09-08,1580.28,1577.44,1599.93,1557.12,5865.0,96782.0,0.09,57.43,5.55,840.37,0.28,10.35
2000-09-11,1581.7,1584.52,1603.47,1560.35,4965.0,78895.0,0.45,57.65,5.57,829.09,0.28,10.35
2000-09-12,1589.81,1597.18,1612.74,1569.26,5035.0,77156.0,0.8,58.19,5.63,840.79,0.27,10.34
